Country,Airport
Afghanistan,Hamid Karzai International Airport
Albania,Tirana International Airport Nënë Tereza
Algeria,Houari Boumediene Airport
Andorra,La Seu d'Urgell Airport (Spain)
Angola,Quatro de Fevereiro Airport
Argentina,Ministro Pistarini International Airport (Ezeiza)
Armenia,Zvartnots International Airport
Australia,Sydney Kingsford Smith Airport
Austria,Vienna International Airport
Azerbaijan,Heydar Aliyev International Airport
Bahamas,Lynden Pindling International Airport
Bahrain,Bahrain International Airport
Bangladesh,Hazrat Shahjalal International Airport
Barbados,Grantley Adams International Airport
Belarus,Minsk National Airport
Belgium,Brussels Airport
Belize,Philip S. W. Goldson International Airport
Benin,Cotonou Cadjehoun Airport
Bhutan,Paro Airport
Bolivia,El Alto International Airport
Bosnia and Herzegovina,Sarajevo International Airport
Botswana,Sir Seretse Khama International Airport
Brazil,São Paulo–Guarulhos International Airport
Brunei,Brunei International Airport
Bulgaria,Sofia Airport
Burkina Faso,Ouagadougou Airport
Burundi,Bujumbura International Airport
Cambodia,Phnom Penh International Airport
Cameroon,Douala International Airport
Canada,Toronto Pearson International Airport
Cape Verde,Amílcar Cabral International Airport
Central African Republic,Bangui M'Poko International Airport
Chad,N'Djamena International Airport
Chile,Arturo Merino Benítez International Airport
China,Beijing Capital International Airport
Colombia,El Dorado International Airport
Comoros,Prince Said Ibrahim International Airport
Congo (Brazzaville),Maya-Maya Airport
Congo (Kinshasa),N'djili Airport
Costa Rica,Juan Santamaría International Airport
Croatia,Zagreb Airport
Cuba,José Martí International Airport
Cyprus,Larnaca International Airport
Czech Republic,Václav Havel Airport Prague
Denmark,Copenhagen Airport
Djibouti,Djibouti–Ambouli International Airport
Dominica,Douglas–Charles Airport
Dominican Republic,Punta Cana International Airport
Ecuador,Mariscal Sucre International Airport
Egypt,Cairo International Airport
El Salvador,Monseñor Óscar Arnulfo Romero International Airport
Equatorial Guinea,Malabo International Airport
Eritrea,Asmara International Airport
Estonia,Lennart Meri Tallinn Airport
Eswatini,King Mswati III International Airport
Ethiopia,Addis Ababa Bole International Airport
Fiji,Nadi International Airport
Finland,Helsinki Airport
France,Charles de Gaulle Airport
Gabon,Léon-Mba International Airport
Gambia,Banjul International Airport
Georgia,Tbilisi International Airport
Germany,Frankfurt Airport
Ghana,Kotoka International Airport
Greece,Athens International Airport
Grenada,Maurice Bishop International Airport
Guatemala,La Aurora International Airport
Guinea,Conakry International Airport
Guinea-Bissau,Osvaldo Vieira International Airport
Guyana,Cheddi Jagan International Airport
Haiti,Toussaint Louverture International Airport
Honduras,Palmerola International Airport
Hungary,Budapest Ferenc Liszt International Airport
Iceland,Keflavík International Airport
India,Indira Gandhi International Airport
Indonesia,Soekarno–Hatta International Airport
Iran,Imam Khomeini International Airport
Iraq,Baghdad International Airport
Ireland,Dublin Airport
Israel,Ben Gurion Airport
Italy,Leonardo da Vinci–Fiumicino Airport
Jamaica,Sangster International Airport
Japan,Tokyo Haneda Airport
Jordan,Queen Alia International Airport
Kazakhstan,Nursultan Nazarbayev International Airport
Kenya,Jomo Kenyatta International Airport
Kiribati,Bonriki International Airport
Kuwait,Kuwait International Airport
Kyrgyzstan,Manas International Airport
Laos,Wattay International Airport
Latvia,Riga International Airport
Lebanon,Beirut–Rafic Hariri International Airport
Lesotho,Moshoeshoe I International Airport
Liberia,Roberts International Airport
Libya,Tripoli International Airport
Liechtenstein,Zurich Airport (Switzerland)
Lithuania,Vilnius Airport
Luxembourg,Luxembourg Airport
Madagascar,Ivato International Airport
Malawi,Kamuzu International Airport
Malaysia,Kuala Lumpur International Airport
Maldives,Velana International Airport
Mali,Modibo Keita International Airport
Malta,Malta International Airport
Marshall Islands,Amata Kabua International Airport
Mauritania,Nouakchott–Oumtounsy International Airport
Mauritius,Sir Seewoosagur Ramgoolam International Airport
Mexico,Mexico City International Airport
Micronesia,Chuuk International Airport
Moldova,Chișinău International Airport
Monaco,Nice Côte d'Azur Airport (France)
Mongolia,Chinggis Khaan International Airport
Montenegro,Podgorica Airport
Morocco,Mohammed V International Airport
Mozambique,Maputo International Airport
Myanmar,Yangon International Airport
Namibia,Hosea Kutako International Airport
Nauru,Nauru International Airport
Nepal,Tribhuvan International Airport
Netherlands,Amsterdam Airport Schiphol
New Zealand,Auckland Airport
Nicaragua,Augusto C. Sandino International Airport
Niger,Diori Hamani International Airport
Nigeria,Murtala Muhammed International Airport
North Korea,Pyongyang Sunan International Airport
North Macedonia,Skopje International Airport
Norway,"Oslo Airport, Gardermoen"
Oman,Muscat International Airport
Pakistan,Islamabad International Airport
Palau,Roman Tmetuchl International Airport
Panama,Tocumen International Airport
Papua New Guinea,Port Moresby Jacksons International Airport
Paraguay,Silvio Pettirossi International Airport
Peru,Jorge Chávez International Airport
Philippines,Ninoy Aquino International Airport
Poland,Warsaw Chopin Airport
Portugal,Lisbon Airport
Qatar,Hamad International Airport
Romania,Henri Coandă International Airport
Russia,Sheremetyevo International Airport
Rwanda,Kigali International Airport
Saint Kitts and Nevis,Robert L. Bradshaw International Airport
Saint Lucia,Hewanorra International Airport
Saint Vincent and the Grenadines,Argyle International Airport
Samoa,Faleolo International Airport
San Marino,Federico Fellini International Airport (Italy)
Sao Tome and Principe,São Tomé International Airport
Saudi Arabia,King Abdulaziz International Airport
Senegal,Blaise Diagne International Airport
Serbia,Belgrade Nikola Tesla Airport
Seychelles,Seychelles International Airport
Sierra Leone,Lungi International Airport
Singapore,Changi Airport
Slovakia,Bratislava Airport
Slovenia,Ljubljana Jože Pučnik Airport
Solomon Islands,Honiara International Airport
Somalia,Aden Adde International Airport
South Africa,O. R. Tambo International Airport
South Korea,Incheon International Airport
South Sudan,Juba International Airport
Spain,Adolfo Suárez Madrid–Barajas Airport
Sri Lanka,Bandaranaike International Airport
Sudan,Khartoum International Airport
Suriname,Johan Adolf Pengel International Airport
Sweden,Stockholm Arlanda Airport
Switzerland,Zürich Airport
Syria,Damascus International Airport
